,Day,Ratios:T-P-N
0,1,"[2264.0, 0.5013250883392226, 0.4986749116607774]"
1,2,"[3018.0, 0.4685222001325381, 0.5314777998674619]"
2,3,"[5731.0, 0.47967195951840863, 0.5203280404815913]"
3,4,"[4812.0, 0.5064422277639236, 0.4935577722360765]"
4,5,"[5017.0, 0.5563085509268487, 0.4436914490731513]"
5,6,"[2692.0, 0.5178306092124815, 0.4821693907875186]"
