,Day,Ratios:T-P-N
0,1,"[1659.0, 0.543701024713683, 0.4562989752863171]"
1,2,"[2369.0, 0.5263824398480371, 0.4736175601519629]"
2,3,"[876.0, 0.5593607305936074, 0.4406392694063927]"
3,4,"[1221.0, 0.5528255528255528, 0.44717444717444715]"
4,5,"[1181.0, 0.5571549534292972, 0.4428450465707028]"
5,6,"[1504.0, 0.5857712765957447, 0.4142287234042553]"
6,7,"[1608.0, 0.5590796019900498, 0.44092039800995025]"
7,8,"[1339.0, 0.573562359970127, 0.42643764002987306]"
8,9,"[925.0, 0.5578378378378378, 0.44216216216216214]"
9,10,"[1094.0, 0.5877513711151737, 0.41224862888482633]"
10,11,"[1376.0, 0.626453488372093, 0.373546511627907]"
11,12,"[1090.0, 0.5926605504587156, 0.4073394495412844]"
12,13,"[1122.0, 0.6033868092691622, 0.3966131907308378]"
13,14,"[1, 0.0, 0.0]"
14,15,"[8847.0, 0.6187408160958517, 0.3812591839041483]"
15,16,"[1479.0, 0.5855307640297498, 0.41446923597025015]"
16,17,"[1571.0, 0.5563335455124124, 0.4436664544875875]"
17,18,"[1427.0, 0.48423265592151365, 0.5157673440784863]"
18,19,"[1306.0, 0.5941807044410413, 0.4058192955589586]"
19,20,"[1469.0, 0.5561606535057863, 0.44383934649421375]"
20,21,"[1735.0, 0.5798270893371757, 0.4201729106628242]"
21,22,"[1945.0, 0.6236503856041131, 0.3763496143958869]"
22,23,"[1215.0, 0.5851851851851851, 0.4148148148148148]"
23,24,"[977.0, 0.6028659160696008, 0.3971340839303992]"
24,25,"[1201.0, 0.6228143213988343, 0.3771856786011657]"
25,26,"[1179.0, 0.6081424936386769, 0.39185750636132316]"
26,27,"[1190.0, 0.5638655462184874, 0.4361344537815126]"
27,28,"[1266.0, 0.5355450236966824, 0.46445497630331756]"
