,Day,Ratios:T-P-N
0,1,"[831.0, 0.3200962695547533, 0.6799037304452467]"
1,2,"[762.0, 0.34776902887139105, 0.652230971128609]"
2,3,"[255.0, 0.2901960784313726, 0.7098039215686275]"
3,4,"[781.0, 0.31370038412291934, 0.6862996158770807]"
4,5,"[2.0, 0.5, 0.5]"
5,6,"[62.0, 0.3870967741935484, 0.6129032258064516]"
6,7,"[979.0, 0.3125638406537283, 0.6874361593462717]"
7,8,"[682.0, 0.3152492668621701, 0.6847507331378299]"
8,9,"[899.0, 0.3270300333704116, 0.6729699666295884]"
9,10,"[84.0, 0.36904761904761907, 0.6309523809523809]"
10,11,"[1092.0, 0.35622710622710624, 0.6437728937728938]"
11,12,"[878.0, 0.3564920273348519, 0.643507972665148]"
12,13,"[1222.0, 0.3281505728314239, 0.6718494271685761]"
13,14,"[1, 0, 0]"
14,15,"[6.0, 0.16666666666666666, 0.8333333333333334]"
15,16,"[755.0, 0.3205298013245033, 0.6794701986754967]"
16,17,"[713.0, 0.38429172510518933, 0.6157082748948106]"
17,18,"[946.0, 0.34249471458773784, 0.6575052854122622]"
18,19,"[386.0, 0.3471502590673575, 0.6528497409326425]"
19,20,"[93.0, 0.46236559139784944, 0.5376344086021505]"
20,21,"[584.0, 0.3664383561643836, 0.6335616438356164]"
21,22,"[610.0, 0.33934426229508197, 0.660655737704918]"
22,23,"[11.0, 0.5454545454545454, 0.45454545454545453]"
23,24,"[164.0, 0.31097560975609756, 0.6890243902439024]"
24,25,"[2.0, 1.0, 0.0]"
25,26,"[216.0, 0.26851851851851855, 0.7314814814814815]"
26,27,"[1243.0, 0.29766693483507645, 0.7023330651649236]"
27,28,"[990.0, 0.35353535353535354, 0.6464646464646465]"
28,29,"[578.0, 0.32006920415224915, 0.6799307958477508]"
29,30,"[61.0, 0.21311475409836064, 0.7868852459016393]"
30,31,"[240.0, 0.2875, 0.7125]"
