,Day,Ratios:T-P-N
0,1,"[1142.0, 0.5604203152364273, 0.4395796847635727]"
1,2,"[1038.0, 0.6069364161849711, 0.3930635838150289]"
2,3,"[1193.0, 0.6152556580050293, 0.38474434199497065]"
3,4,"[1233.0, 0.5725871857258719, 0.42741281427412814]"
4,5,"[1275.0, 0.5474509803921569, 0.45254901960784316]"
5,6,"[514.0, 0.5350194552529183, 0.4649805447470817]"
6,7,"[1149.0, 0.5587467362924282, 0.4412532637075718]"
7,8,"[992.0, 0.6078629032258065, 0.39213709677419356]"
8,9,"[959.0, 0.5995828988529719, 0.40041710114702816]"
9,10,"[795.0, 0.5509433962264151, 0.4490566037735849]"
10,11,"[1092.0, 0.5402930402930403, 0.4597069597069597]"
11,12,"[1511.0, 0.5605559232296492, 0.43944407677035074]"
12,13,"[1542.0, 0.5382619974059663, 0.46173800259403375]"
13,14,"[1, 0, 0]"
14,15,"[2830.0, 0.6243816254416961, 0.3756183745583039]"
15,16,"[1051.0, 0.5756422454804948, 0.42435775451950525]"
16,17,"[1692.0, 0.574468085106383, 0.425531914893617]"
17,18,"[1383.0, 0.5704989154013015, 0.42950108459869846]"
18,19,"[1444.0, 0.5630193905817175, 0.43698060941828254]"
19,20,"[1667.0, 0.5758848230353929, 0.4241151769646071]"
20,21,"[1473.0, 0.5879158180583842, 0.4120841819416157]"
21,22,"[1357.0, 0.5578481945467944, 0.4421518054532056]"
22,23,"[1302.0, 0.5783410138248848, 0.4216589861751152]"
23,24,"[320.0, 0.725, 0.275]"
24,25,"[1272.0, 0.5817610062893082, 0.41823899371069184]"
25,26,"[1255.0, 0.5657370517928287, 0.4342629482071713]"
26,27,"[1342.0, 0.53725782414307, 0.46274217585692995]"
27,28,"[1157.0, 0.5790838375108038, 0.4209161624891962]"
28,29,"[1237.0, 0.5650767987065481, 0.4349232012934519]"
29,30,"[899.0, 0.5828698553948832, 0.41713014460511677]"
30,31,"[86.0, 0.5813953488372093, 0.4186046511627907]"
