,Day,Totals,Positives,Negatives
0,1,4016.0,0.563496015936255,0.436503984063745
1,2,4325.0,0.5778034682080925,0.4221965317919075
2,3,1697.0,0.5344725987035945,0.4655274012964054
3,4,1546.0,0.5252263906856404,0.47477360931435963
4,5,2382.0,0.5226700251889169,0.47732997481108314
5,6,2123.0,0.5379180405087141,0.46208195949128594
6,7,2359.0,0.562950402713014,0.437049597286986
7,8,2480.0,0.5403225806451613,0.4596774193548387
8,9,2662.0,0.5353117956423742,0.46468820435762587
9,10,595.0,0.5058823529411764,0.49411764705882355
10,11,2306.0,0.5550737207285342,0.4449262792714657
11,12,2071.0,0.5306615161757605,0.4693384838242395
12,13,2085.0,0.5270983213429257,0.47290167865707433
13,14,1302.0,0.5337941628264209,0.4662058371735791
14,15,1423.0,0.5193253689388616,0.48067463106113845
15,16,2430.0,0.5407407407407407,0.45925925925925926
16,17,2115.0,0.5177304964539007,0.48226950354609927
17,18,1893.0,0.537770734284205,0.46222926571579503
18,19,446.0,0.5650224215246636,0.4349775784753363
19,20,1724.0,0.5348027842227379,0.4651972157772622
20,21,1846.0,0.5460455037919827,0.4539544962080173
21,22,2255.0,0.5365853658536586,0.4634146341463415
22,23,740.0,0.5932432432432433,0.40675675675675677
23,24,2201.0,0.5429350295320309,0.4570649704679691
24,25,2727.0,0.517051705170517,0.4829482948294829
25,26,2591.0,0.5766113469702817,0.42338865302971823
26,27,4.0,0.75,0.25
27,28,2038.0,0.5157016683022572,0.4842983316977429
28,29,1537.0,0.5152895250487963,0.4847104749512036
29,30,2717.0,0.4869341185130659,0.5130658814869341
30,31,2207.0,0.5015858631626643,0.49841413683733576
