,Day,Totals,Positives,Negatives
0,1,2184.0,0.5334249084249084,0.4665750915750916
1,2,1690.0,0.5680473372781065,0.4319526627218935
2,3,1991.0,0.5816172777498745,0.41838272225012557
3,4,4860.0,0.49135802469135803,0.508641975308642
4,5,5474.0,0.4934234563390574,0.5065765436609426
5,6,2040.0,0.5313725490196078,0.46862745098039216
6,7,2089.0,0.5730014360938248,0.4269985639061752
7,8,2238.0,0.6318141197497766,0.3681858802502234
8,9,1379.0,0.5663524292965917,0.43364757070340826
9,10,1510.0,0.5708609271523178,0.4291390728476821
10,11,2284.0,0.632661996497373,0.36733800350262696
11,12,2519.0,0.5649067090115125,0.4350932909884875
12,13,2524.0,0.5689381933438986,0.43106180665610144
13,14,1633.0,0.5566442131047152,0.44335578689528476
14,15,1455.0,0.5326460481099656,0.46735395189003437
15,16,1278.0,0.5625978090766823,0.43740219092331767
16,17,1337.0,0.5661929693343306,0.4338070306656694
17,18,1526.0,0.5524246395806028,0.4475753604193971
18,19,1738.0,0.5333716915995397,0.4666283084004603
19,20,3047.0,0.5680997702658352,0.43190022973416475
20,21,2270.0,0.5286343612334802,0.4713656387665198
21,22,1914.0,0.5454545454545454,0.45454545454545453
22,23,1966.0,0.5284842319430315,0.4715157680569685
23,24,1990.0,0.5623115577889447,0.4376884422110553
24,25,1924.0,0.5504158004158004,0.4495841995841996
25,26,2156.0,0.5477736549165121,0.45222634508348797
26,27,1504.0,0.5611702127659575,0.43882978723404253
27,28,1008.0,0.5109126984126984,0.48908730158730157
28,29,729.0,0.541838134430727,0.45816186556927296
